lon,lat,elevation
7.64039,45.98110,2990
7.64082,45.98110,3001
7.64125,45.98110,3014
7.64168,45.98110,3029
7.64211,45.98110,3047
7.64254,45.98110,3067
7.64297,45.98110,3089
7.64339,45.98110,3109
7.64382,45.98110,3128
7.64425,45.98110,3149
7.64468,45.98110,3179
7.64511,45.98110,3236
7.64554,45.98110,3274
7.64597,45.98110,3316
7.64640,45.98110,3348
7.62451,45.98080,2835
7.62494,45.98080,2835
7.62537,45.98080,2836
7.62580,45.98080,2837
7.62623,45.98080,2840
7.62666,45.98080,2844
7.62709,45.98080,2852
7.62752,45.98080,2859
7.62794,45.98080,2865
7.62837,45.98080,2872
7.62880,45.98080,2879
7.62923,45.98080,2888
7.62966,45.98080,2896
7.63009,45.98080,2904
7.63052,45.98080,2911
7.63095,45.98080,2917
7.63138,45.98080,2923
7.63181,45.98080,2928
7.63224,45.98080,2931
7.63267,45.98080,2935
7.63309,45.98080,2939
7.63352,45.98080,2943
7.63395,45.98080,2947
7.63438,45.98080,2951
7.63481,45.98080,2954
7.63524,45.98080,2957
7.63567,45.98080,2959
7.63610,45.98080,2960
7.63653,45.98080,2961
7.63696,45.98080,2964
7.63739,45.98080,2966
7.63782,45.98080,2968
7.63824,45.98080,2968
7.63867,45.98080,2969
7.63910,45.98080,2973
7.63953,45.98080,2978
7.63996,45.98080,2983
7.64039,45.98080,2992
7.64082,45.98080,3002
7.64125,45.98080,3013
7.64168,45.98080,3025
7.64211,45.98080,3041
7.64254,45.98080,3060
7.64297,45.98080,3079
7.64339,45.98080,3098
7.64382,45.98080,3116
7.64425,45.98080,3135
7.64468,45.98080,3163
7.64511,45.98080,3211
7.64554,45.98080,3274
7.64597,45.98080,3309
7.64640,45.98080,3343
7.62451,45.98050,2839
7.62494,45.98050,2839
7.62537,45.98050,2841
7.62580,45.98050,2842
7.62623,45.98050,2844
7.62666,45.98050,2848
7.62709,45.98050,2855
7.62752,45.98050,2863
7.62794,45.98050,2869
7.62837,45.98050,2876
7.62880,45.98050,2884
7.62923,45.98050,2892
7.62966,45.98050,2901
7.63009,45.98050,2908
7.63052,45.98050,2915
7.63095,45.98050,2921
7.63138,45.98050,2925
7.63181,45.98050,2929
7.63224,45.98050,2933
7.63267,45.98050,2937
7.63309,45.98050,2942
7.63352,45.98050,2946
7.63395,45.98050,2950
7.63438,45.98050,2954
7.63481,45.98050,2958
7.63524,45.98050,2961
7.63567,45.98050,2963
7.63610,45.98050,2963
7.63653,45.98050,2965
7.63696,45.98050,2967
7.63739,45.98050,2969
7.63782,45.98050,2971
7.63824,45.98050,2970
7.63867,45.98050,2971
7.63910,45.98050,2975
7.63953,45.98050,2980
7.63996,45.98050,2985
7.64039,45.98050,2992
7.64082,45.98050,3000
7.64125,45.98050,3008
7.64168,45.98050,3021
7.64211,45.98050,3036
7.64254,45.98050,3051
7.64297,45.98050,3068
7.64339,45.98050,3084
7.64382,45.98050,3103
7.64425,45.98050,3123
7.64468,45.98050,3150
7.64511,45.98050,3201
7.64554,45.98050,3256
7.64597,45.98050,3303
7.64640,45.98050,3338
7.62451,45.98020,2843
7.62494,45.98020,2844
7.62537,45.98020,2844
7.62580,45.98020,2846
7.62623,45.98020,2848
7.62666,45.98020,2852
